transaction_id,user_id,amount,timestamp,tx_count_1h,is_fraud,notes
TXN_1001,USER_001,4.50,2023-10-27 08:15:00,1,0,Morning Coffee
TXN_1002,USER_002,12.99,2023-10-27 08:30:22,1,0,Subscription
TXN_1003,USER_003,5.00,2023-10-27 09:05:10,1,0,Breakfast
TXN_1004,USER_001,45.00,2023-10-27 09:45:00,2,0,Gas Station
TXN_1005,USER_004,120.50,2023-10-27 10:15:30,1,0,Grocery Run
TXN_1006,USER_005,1.00,2023-10-27 10:30:01,1,1,Card Testing Start
TXN_1007,USER_005,1.00,2023-10-27 10:30:05,2,1,Card Testing Velocity
TXN_1008,USER_005,1.00,2023-10-27 10:30:10,3,1,Card Testing Velocity
TXN_1009,USER_005,2500.00,2023-10-27 10:31:00,4,1,Card Testing Cashout
TXN_1010,USER_006,89.99,2023-10-27 11:00:15,1,0,Electronics
TXN_1011,USER_002,15.00,2023-10-27 11:20:45,2,0,Lunch
TXN_1012,USER_007,980.00,2023-10-27 11:30:00,1,1,Structuring (Just below $1k)
TXN_1013,USER_007,980.00,2023-10-27 11:32:00,2,1,Structuring (Avoids limit)
TXN_1014,USER_007,980.00,2023-10-27 11:34:00,3,1,Structuring (Total > $2k)
TXN_1015,USER_008,22.50,2023-10-27 12:05:10,1,0,Books
TXN_1016,USER_003,120.00,2023-10-27 12:45:22,2,0,Clothing
TXN_1017,USER_009,8.75,2023-10-27 13:10:05,1,0,Snack
TXN_1018,USER_010,300.00,2023-10-27 13:30:00,1,0,Utility Bill
TXN_1019,USER_011,15.99,2023-10-27 14:00:10,1,0,Movie Rental
TXN_1020,USER_012,0.01,2023-10-27 14:15:00,1,1,Auth Check / Ping
TXN_1021,USER_012,0.01,2023-10-27 14:15:05,2,1,Auth Check / Ping
TXN_1022,USER_001,65.00,2023-10-27 15:00:30,3,0,Dinner Prep
TXN_1023,USER_013,10.00,2023-10-27 15:20:15,1,0,Top-up
TXN_1024,USER_004,200.00,2023-10-27 16:00:00,2,0,Gift Purchase
TXN_1025,USER_014,999.99,2023-10-27 16:30:00,1,1,Max Limit Attempt
TXN_1026,USER_014,999.99,2023-10-27 16:30:05,2,1,Max Limit Retry
TXN_1027,USER_015,45.20,2023-10-27 17:10:10,1,0,Fuel
TXN_1028,USER_016,12.50,2023-10-27 17:45:22,1,0,Fast Food
TXN_1029,USER_017,110.00,2023-10-27 18:00:05,1,0,Shoes
TXN_1030,USER_018,5000.00,2023-10-27 18:15:00,1,1,High Value Anomaly
TXN_1031,USER_019,9.00,2023-10-27 18:40:10,1,0,Taxi
TXN_1032,USER_020,35.00,2023-10-27 19:10:30,1,0,Gym
TXN_1033,USER_002,75.00,2023-10-27 19:45:00,3,0,Dinner
TXN_1034,USER_021,19.99,2023-10-27 20:15:15,1,0,Online Game
TXN_1035,USER_022,150.00,2023-10-27 21:00:00,1,0,Concert Ticket
TXN_1036,USER_023,12.00,2023-10-27 22:30:10,1,0,Late Snack
TXN_1037,USER_024,2400.00,2023-10-28 02:00:00,1,1,Nighttime Fraud (2AM)
TXN_1038,USER_024,2400.00,2023-10-28 02:05:00,2,1,Nighttime Fraud (Repeat)
TXN_1039,USER_025,5.50,2023-10-28 03:15:00,1,1,Card Testing (Night)
TXN_1040,USER_025,5.50,2023-10-28 03:15:10,2,1,Card Testing (Night)
TXN_1041,USER_025,5.50,2023-10-28 03:15:20,3,1,Card Testing (Night)
TXN_1042,USER_025,5.50,2023-10-28 03:15:30,4,1,Card Testing (Night)
TXN_1043,USER_025,500.00,2023-10-28 03:16:00,5,1,Cashout after test
TXN_1044,USER_026,45.00,2023-10-28 08:00:00,1,0,Early Commute
TXN_1045,USER_027,10.00,2023-10-28 08:15:00,1,0,Breakfast
TXN_1046,USER_028,99.00,2023-10-28 09:00:00,1,0,Software License
TXN_1047,USER_029,9000.00,2023-10-28 09:05:00,1,1,Massive Outlier
TXN_1048,USER_030,25.00,2023-10-28 09:30:00,1,0,Gift Card
TXN_1049,USER_001,15.00,2023-10-28 10:00:00,4,0,Lunch
TXN_1050,USER_031,120.00,2023-10-28 10:15:00,1,0,Groceries
